60	b'I have a background in Computer Engineering and have been working on developing better algorithms to mimic human thought. (One of my favorites is Analogical Modeling as applied to language processing and decision making.) However, the more I research, the more I realize just how complicated AI is.I have tried to tackle many problems in this field, but sometimes I find that I am reinventing the wheel or am trying to solve a problem that has already been proven to be unsolvable (ie. the halting problem). So, to help in furthering AI, I want to better understand the current obstacles that are hindering our progress in this field.For example, time and space complexity of some machine learning algorithms is super-polynomial which means that even with fast computers, it can take a while for the program to complete. Even still, some algorithms may be fast on a desktop or other computer while dealing with a small data set, but when increasing the size of the data, the algorithm becomes intractable.What are other issues currently facing AI development?'
156	b'From Wikipedia: A mirror neuron is a neuron that fires both when an animal acts and when the animal observes the same action performed by another.Mirror neurons are related to imitation learning, a very useful feature that is missing in current real-world A.I. implementations. Instead of learning from input-output examples (supervised learning) or from rewards (reinforcement learning), an agent with mirror neurons would be able to learn by simply observing other agents, translating their movements to its own coordinate system. What do we have on this subject regarding computational models?'
225	b'Given list of fixed numbers from a mathematical constant such as Pi, is it is possible to train AI to attempt to predict the next numbers?Which AI or neural network would be more suitable for this task? Especially the one which will work without memorizing the entire training set, but the one which will attempt to find some patterns or statistical association.'
227	b'What are the main differences between two types of feedforward networks such as multilayer perceptrons (MLP) and radial basis function (RBF)?What are the fundamental differences between these two types?'
228	b'Pseudo-random number generators are specifically defined to defeat any form of prediction via \'black box\' observation. Certainly, some (e.g. linear congruential) have weaknesses, but you are unlikely to have any success in general in predicting the output of a modern RNG. For devices based on chaotic physical systems (e.g. most national lotteries), there is no realistic possibility of prediction."Patterns or statistical association" is a much weaker criterion than \'prediction\'. Some very recent work has applied topological data analysis to visualize patterns within the infamous Randu RNG.'
229	b' Multilayer Perceptron networks (MLP) have been applied to distinct areas, performing tasks such as function fitting and pattern recognition problems, by using the supervised training with an algorithm known as \xe2\x80\x9cerror back propagation\xe2\x80\x9d.   Radial basis function (RBF) networks have the advantages of an easy design (just three layer architecture), good generalization, and high tolerance of input noises and ability of online learning. From the point of generalization, RBF networks can respond well well to patterns that were not used for training.1.1, 1.2 of 230.pdf'
230	b'You would probably have to pack recursive structures into finite-dimensional real vectors and there have been such attempts. The finite precision limits goes as far as the recursion can go.The limitation of feedforward neural networks is restricted to finite input and output spaces, so recurrent may be more suitable for this task as in theory can process arbitrarily long strings of numbers, but it has much more practical difficulties than feedforward network.These kind of methods are open to debate.Source: SAS FAQReferences:Blair, 1997; Pollack, 1990; Chalmers, 1990; Chrisman, 1991; Plate, 1994; Hammerton, 1998; Hadley, 1999'
1287	b'MLP: uses dot products (between inputs and weights) and sigmoidal activation functions (or other monotonic functions such as ReLU) and training is usually done through backpropagation for all layers (which can be as many as you want). This type of neural network is used in deep learning with the help of many techniques (such as dropout or batch normalization);RBF: uses Euclidean distances (between inputs and weights, which can be viewed as centers) and (usually) Gaussian activation functions (which could be multivariate), which makes neurons more locally sensitive. Thus, RBF neurons have maximum activation when the center/weights are equal to the inputs (look at the image below). Due to this property, RBF neural networks are good for novelty detection (if each neuron is centered on a training example, inputs far away from all neurons constitute novel patterns) but not so good at extrapolation. Also, RBFs may use backpropagation for learning, or hybrid approaches with unsupervised learning in the hidden layer (they usually have just 1 hidden layer). Finally, RBFs make it easier to grow new neurons during training.'
1340	b"This article gives a description of mirror neurons in terms of Hebbian learning, a mechanism that has been widely used in AI. I don't know whether the formulation given in the article has ever actually been implemented computationally."
1389	b"One obstacle to the development of AI is the fundamental limitations of computer memory. Computers, at a fundamental level, can only work with bits. This limits the type of information that they can describe.EDIT:The precise nature and complexity of human memory isn't fully understood, but I would argue that at the very least, human memory is well adapted for the types of tasks that humans perform. Thus, computer memory, even if theoretically capable of representing everything that human memory can, is probably inefficient and poorly structured for such a task. "
1464	b"One: we don't really know what intelligence is.Two: we don't truly understand the best model of intelligence we have available (human intelligence) works.Three: we're trying to replicate human intelligence (to some extent) on hardware which is quite different from the hardware it runs on in reality.Four: the human brain (our best model of intelligence) is mostly a black-box to us, and it's difficult to probe/introspect it's operation without killing the test subject. This is, of course, unethical and illegal. So progress in understanding the brain is very slow. Combine those factors and you can understand why it's difficult to make progress in AI. In many ways, you can argue that we're shooting in the dark. Of course we have made some progress, so we know we're getting some things right. But without a real comprehensive theory about how AI should/will work, we are reduced to a lot of trial and error and iteration to move forward."
1648	b'For Example:Could you provide reasons why a sundial is not "intelligent"?A sundial senses its environment and acts rationally. It outputs the time. It also stores percepts. (The numbers the engineer wrote on it.)What properties of a self driving car would make it "intelligent"?Where is the line between non intelligent matter and an intelligent system?'
