id,age,gender,education_level,major,family_income,family_size,housing_condition,financial_aid,poverty_level
1,29,F,博士,物理学,34493,6,61,0,3
2,22,M,博士,计算机科学,91763,2,53,0,3
3,20,F,本科,计算机科学,87445,4,104,1,1
4,21,M,硕士,计算机科学,42481,6,102,1,2
5,21,F,博士,计算机科学,87163,2,61,0,3
6,20,M,本科,计算机科学,65333,6,117,1,2
7,22,F,本科,物理学,30126,4,81,1,1
8,20,F,本科,计算机科学,71490,4,152,1,2
9,25,F,本科,生物科学,36108,6,196,1,2
10,30,F,硕士,生物科学,73825,5,150,0,3
11,24,F,硕士,计算机科学,38717,6,120,0,3
12,29,M,博士,计算机科学,73525,2,65,1,2
13,24,F,博士,计算机科学,55103,6,137,0,3
14,29,F,本科,物理学,91440,6,95,1,1
15,20,F,博士,计算机科学,57770,2,161,0,3
16,28,M,博士,物理学,39384,3,137,1,1
17,24,F,博士,生物科学,73050,3,68,0,2
18,24,F,本科,生物科学,68681,4,131,1,1
19,21,M,硕士,物理学,88530,3,87,1,2
20,29,F,本科,物理学,89683,4,119,0,2
21,23,M,博士,物理学,70562,6,99,0,3
22,27,F,硕士,计算机科学,59631,3,74,1,2
23,20,F,博士,物理学,83779,3,153,0,3
24,30,F,博士,生物科学,54520,6,164,0,3
25,21,F,本科,生物科学,49419,6,196,1,1
26,26,M,硕士,生物科学,78551,2,191,1,2
27,29,F,硕士,生物科学,45051,4,183,0,2
28,22,F,博士,物理学,56224,4,92,0,2
29,30,M,硕士,生物科学,86234,6,93,1,1
30,27,F,本科,计算机科学,62511,2,67,0,3
31,26,F,本科,物理学,67082,3,183,0,3
32,22,F,硕士,生物科学,90523,4,112,1,1
33,27,M,硕士,生物科学,38355,2,160,0,3
34,29,F,本科,物理学,81963,3,97,1,2
35,26,M,博士,计算机科学,33963,5,50,0,3
36,29,F,本科,生物科学,51279,3,146,0,3
37,29,M,硕士,计算机科学,61774,6,131,0,3
38,20,F,本科,生物科学,46215,6,115,1,1
39,22,M,硕士,物理学,46540,2,168,1,2
40,20,M,博士,生物科学,75488,4,100,0,3
41,30,M,本科,生物科学,34363,3,75,1,2
42,30,M,博士,物理学,38584,6,149,1,2
43,28,F,博士,生物科学,82255,5,161,0,2
44,30,M,硕士,物理学,47190,5,89,1,1
45,20,M,硕士,生物科学,54251,4,93,1,1
46,28,F,本科,计算机科学,73464,5,71,1,1
47,25,F,本科,物理学,59174,5,132,1,2
48,28,F,本科,计算机科学,91856,4,53,1,1
49,24,F,本科,计算机科学,36449,3,188,1,1
50,28,F,硕士,物理学,53050,3,50,1,2
51,27,F,本科,生物科学,99702,4,160,1,2
52,22,M,博士,物理学,92356,6,86,0,2
53,22,M,博士,生物科学,80527,5,145,0,3
54,20,M,硕士,计算机科学,78993,3,197,0,3
55,22,M,本科,物理学,33621,6,101,0,2
56,25,M,博士,物理学,51184,2,111,0,2
57,23,F,博士,物理学,83557,2,69,0,2
58,25,M,硕士,物理学,61479,5,165,1,1
59,28,F,硕士,计算机科学,54394,5,124,0,3
60,22,M,本科,生物科学,58972,2,114,1,2
61,29,F,博士,计算机科学,44988,3,191,1,2
62,30,F,本科,生物科学,97057,4,117,1,1
63,21,M,硕士,物理学,73447,3,78,0,2
64,28,M,博士,物理学,98507,3,136,0,2
65,24,M,硕士,物理学,63820,2,83,0,3
66,24,F,博士,物理学,55872,6,159,1,1
67,29,M,硕士,生物科学,79243,3,132,0,2
68,28,F,博士,物理学,98510,4,190,0,3
69,28,F,本科,计算机科学,72009,4,161,1,2
70,22,F,博士,生物科学,92764,5,75,0,3
71,26,M,博士,物理学,47983,2,57,0,3
72,25,F,硕士,计算机科学,34882,6,87,0,2
73,20,M,硕士,计算机科学,46473,4,113,0,3
74,29,M,本科,生物科学,87366,2,99,1,2
75,27,M,博士,物理学,43758,4,195,1,1
76,23,F,硕士,计算机科学,32769,6,162,1,1
77,29,F,博士,计算机科学,51617,5,135,0,2
78,21,M,本科,生物科学,57325,6,109,0,3
79,26,M,博士,物理学,69640,4,146,0,2
80,27,F,博士,计算机科学,88511,5,162,1,2
81,27,M,硕士,计算机科学,74424,3,99,0,3
82,26,F,硕士,计算机科学,48414,4,132,1,2
83,23,F,本科,生物科学,34981,3,192,1,1
84,27,M,博士,物理学,83136,5,105,1,1
85,28,M,博士,物理学,81505,5,74,0,3
86,27,F,硕士,计算机科学,48941,4,131,0,2
87,22,F,硕士,计算机科学,35543,5,142,0,3
88,20,M,本科,计算机科学,48991,2,136,1,2
89,25,M,博士,计算机科学,76244,3,113,0,3
90,28,M,硕士,生物科学,32912,6,52,1,2
91,20,F,本科,生物科学,39242,6,129,1,1
92,29,M,博士,生物科学,84285,2,81,0,3
93,28,F,硕士,生物科学,91310,6,72,1,1
94,29,F,硕士,物理学,79799,5,192,1,1
95,22,M,本科,计算机科学,93348,3,87,0,3
96,25,M,博士,物理学,52033,5,63,1,1
97,25,M,博士,生物科学,89031,6,180,1,2
98,24,M,本科,生物科学,50731,6,86,1,1
99,22,F,博士,生物科学,73285,3,150,0,2
100,21,F,硕士,生物科学,46508,4,101,0,2
101,24,F,本科,物理学,38959,5,65,1,2
102,28,M,本科,生物科学,86230,4,116,1,2
103,23,F,硕士,生物科学,88517,5,197,0,3
104,26,F,硕士,物理学,34743,2,50,1,1
105,29,F,硕士,物理学,88589,5,168,0,3
106,25,M,博士,生物科学,32173,6,169,0,3
107,27,F,硕士,物理学,69486,5,96,0,2
108,26,M,本科,物理学,36198,2,66,1,2
109,23,F,博士,物理学,55452,3,158,0,3
110,30,M,本科,生物科学,65648,6,64,1,1
111,20,F,硕士,物理学,55183,6,199,0,3
112,23,M,本科,计算机科学,87509,6,185,1,2
113,25,M,硕士,生物科学,77752,5,150,0,2
114,26,M,博士,计算机科学,67942,6,115,0,3
115,23,M,硕士,计算机科学,51050,6,54,1,1
116,21,F,本科,生物科学,48966,3,138,1,1
117,25,M,博士,生物科学,72429,6,161,1,2
118,28,M,本科,物理学,31798,4,193,1,1
119,28,M,硕士,物理学,35090,5,159,0,2
120,23,M,博士,物理学,73966,2,79,0,3
121,22,F,硕士,生物科学,74288,4,149,0,3
122,22,M,博士,生物科学,51246,2,156,0,3
123,27,M,博士,计算机科学,86627,2,155,0,2
124,28,M,博士,计算机科学,75600,2,126,0,2
125,21,F,本科,生物科学,64082,6,59,1,2
126,29,M,硕士,计算机科学,48719,5,156,0,2
127,28,F,博士,生物科学,61347,2,185,0,3
128,25,M,硕士,物理学,49236,5,106,0,2
129,29,F,本科,计算机科学,56883,4,53,0,2
130,26,F,博士,物理学,36922,4,200,1,1
131,21,F,博士,生物科学,38971,5,141,0,3
132,29,M,本科,物理学,62503,3,132,1,1
133,29,F,本科,生物科学,76634,6,102,1,2
134,26,F,硕士,计算机科学,87837,3,189,1,2
135,23,F,本科,生物科学,32493,5,116,1,1
136,20,M,博士,物理学,48291,6,90,0,3
137,27,F,博士,生物科学,44501,5,97,0,3
138,25,F,博士,生物科学,87408,2,182,1,1
139,30,F,硕士,生物科学,76461,6,198,1,2
140,21,M,硕士,计算机科学,96879,6,149,1,2
141,23,M,博士,生物科学,66992,4,133,0,2
142,23,M,本科,生物科学,98476,3,107,0,3
143,29,F,硕士,物理学,39061,2,177,0,2
144,29,M,博士,物理学,72762,3,130,1,2
145,22,F,本科,计算机科学,78107,6,136,0,3
146,23,M,博士,生物科学,85887,6,114,0,2
147,24,F,博士,生物科学,53013,2,127,0,2
148,21,M,本科,计算机科学,50530,2,91,0,2
149,23,M,硕士,生物科学,93991,4,112,0,3
150,28,F,博士,物理学,57868,2,129,0,3
151,30,M,硕士,生物科学,49692,4,191,1,1
152,25,F,硕士,生物科学,99223,4,121,1,2
153,26,M,博士,物理学,41732,6,76,0,2
154,30,M,博士,生物科学,64224,3,74,0,3
155,26,F,本科,计算机科学,84379,3,100,1,2
156,25,M,硕士,计算机科学,78153,3,132,1,1
157,27,M,本科,物理学,61814,5,99,0,2
158,25,F,本科,生物科学,33986,6,97,1,2
159,22,F,硕士,生物科学,83153,4,197,0,3
160,21,M,博士,物理学,83187,2,104,0,3
161,20,M,博士,计算机科学,57579,4,60,0,2
162,26,F,博士,计算机科学,66034,3,66,0,3
163,21,M,博士,计算机科学,97517,3,137,0,3
164,27,M,本科,物理学,30980,4,74,0,2
165,23,F,本科,计算机科学,76416,3,170,1,2
