PlaceNameMentioned
"London Central Hostel"
"Coca-Cola London Eye"
"St. Paul's Cathedral"
"Leadenhall Market"
"The National Gallery"
"Royal London Hospital"
"London Central Hostel"
"London Central Hostel"
"Coca-Cola London Eye"
"St. Paul's Cathedral"
"London Central Hostel"
"Coca-Cola London Eye"
"London Central Hostel"
"St. Paul's Cathedral"
"Leadenhall Market"
"The National Gallery"
"Royal London Hospital"
"London Central Hostel"
"Coca-Cola London Eye"
"St. Paul's Cathedral"
"Leadenhall Market"
"The National Gallery"
"London Infirmary"
